dataset,cow_id,view,has_rgb_png,has_depth_png,has_view_ply,has_top_level_ply,has_aligned_ply
CowDB,149,left,True,True,False,True,False
CowDB,149,right,True,True,False,True,False
CowDB,149,top,True,True,False,True,False
CowDB,15,left,True,True,False,True,False
CowDB,15,right,True,True,False,True,False
CowDB,15,top,True,True,False,True,False
CowDB,150,left,True,True,False,True,False
CowDB,150,right,True,True,False,True,False
CowDB,150,top,True,True,False,True,False
CowDB,151,left,True,True,False,True,False
CowDB,151,right,True,True,False,True,False
CowDB,151,top,True,True,False,True,False
CowDB,152,left,True,True,False,True,False
CowDB,152,right,True,True,False,True,False
CowDB,152,top,True,True,False,True,False
CowDB,153,left,True,True,False,True,False
CowDB,153,right,True,True,False,True,False
CowDB,153,top,True,True,False,True,False
CowDB,154,left,True,True,False,True,False
CowDB,154,right,True,True,False,True,False
CowDB,154,top,True,True,False,True,False
CowDB,16,left,True,True,False,True,False
CowDB,16,right,True,True,False,True,False
CowDB,16,top,True,True,False,True,False
CowDB,17,left,True,True,False,True,False
CowDB,17,right,True,True,False,True,False
CowDB,17,top,True,True,False,True,False
CowDB,18,left,True,True,False,True,False
CowDB,18,right,True,True,False,True,False
CowDB,18,top,True,True,False,True,False
CowDB,19,left,True,True,False,True,False
CowDB,19,right,True,True,False,True,False
CowDB,19,top,True,True,False,True,False
CowDB,2,left,True,True,False,True,False
CowDB,2,right,True,True,False,True,False
CowDB,2,top,True,True,False,True,False
CowDB,20,left,True,True,False,True,False
CowDB,20,right,True,True,False,True,False
CowDB,20,top,True,True,False,True,False
CowDB,21,left,True,True,False,True,False
CowDB,21,right,True,True,False,True,False
CowDB,21,top,True,True,False,True,False
CowDB,22,left,True,True,False,True,False
CowDB,22,right,True,True,False,True,False
CowDB,22,top,True,True,False,True,False
CowDB,23,left,True,True,False,True,False
CowDB,23,right,True,True,False,True,False
CowDB,23,top,True,True,False,True,False
CowDB,24,left,True,True,False,True,False
CowDB,24,right,True,True,False,True,False
CowDB,24,top,True,True,False,True,False
CowDB,25,left,True,True,False,True,False
CowDB,25,right,True,True,False,True,False
CowDB,25,top,True,True,False,True,False
CowDB,26,left,True,True,False,True,False
CowDB,26,right,True,True,False,True,False
CowDB,26,top,True,True,False,True,False
CowDB,27,left,True,True,False,True,False
CowDB,27,right,True,True,False,True,False
CowDB,27,top,True,True,False,True,False
CowDB,28,left,True,True,False,True,False
CowDB,28,right,True,True,False,True,False
CowDB,28,top,True,True,False,True,False
CowDB,29,left,True,True,False,True,False
CowDB,29,right,True,True,False,True,False
CowDB,29,top,True,True,False,True,False
CowDB,3,left,True,True,False,True,False
CowDB,3,right,True,True,False,True,False
CowDB,3,top,True,True,False,True,False
CowDB,30,left,True,True,False,True,False
CowDB,30,right,True,True,False,True,False
CowDB,30,top,True,True,False,True,False
CowDB,31,left,True,True,False,True,False
CowDB,31,right,True,True,False,True,False
CowDB,31,top,True,True,False,True,False
CowDB,32,left,True,True,False,True,False
CowDB,32,right,True,True,False,True,False
CowDB,32,top,True,True,False,True,False
CowDB,33,left,True,True,False,True,False
CowDB,33,right,True,True,False,True,False
CowDB,33,top,True,True,False,True,False
CowDB,34,left,True,True,False,True,False
CowDB,34,right,True,True,False,True,False
CowDB,34,top,True,True,False,True,False
CowDB,35,left,True,True,False,True,False
CowDB,35,right,True,True,False,True,False
CowDB,35,top,True,True,False,True,False
