dataset,n,weight_kg,withers_height,hip_height,chest_depth,chest_width,ilium_width,hip_joint_width,oblique_body_length,hip_length,heart_girth,cow_id
CowDB,95,462.0,120,121,63,43,44,53.0,147,44,185,95
CowDB,96,487.0,121,122,64,47,47,52.0,159,45,182,96
CowDB,97,462.0,122,124,63,44,45,53.0,158,46,188,97
CowDB,98,346.0,100,100,60,41,41,46.0,146,41,167,98
CowDB,99,407.0,118,119,62,39,43,46.0,150,42,175,99
CowDB,100,366.0,118,121,60,42,40,44.0,141,46,170,100
CowDB,101,312.0,116,119,62,44,45,48.0,148,44,176,101
CowDB,102,378.0,119,125,62,36,40,44.0,149,43,171,102
CowDB,103,382.0,115,122,59,38,42,43.0,148,42,172,103
CowDB,104,408.0,120,126,63,38,40,48.0,151,42,175,104
CowDB,105,323.0,100,100,56,40,36,40.0,135,37,164,105
CowDB,106,275.0,100,100,57,40,35,40.0,124,40,165,106
CowDB,107,409.0,122,125,63,39,43,49.0,151,45,177,107
CowDB,108,331.0,110,117,55,32,40,43.0,138,40,157,108
CowDB,109,416.0,118,121,60,40,44,47.0,141,40,177,109
CowDB,110,417.0,122,127,60,43,44,47.0,149,44,176,110
CowDB,111,243.0,100,107,50,29,35,35.0,141,35,145,111
CowDB,112,399.0,121,127,61,39,41,46.0,149,40,176,112
CowDB,113,492.0,121,125,68,44,44,50.0,158,46,194,113
CowDB,114,605.0,127,132,70,50,51,55.0,172,49,202,114
CowDB,115,495.0,122,128,65,46,47,52.0,155,48,190,115
CowDB,116,565.0,125,137,68,47,49,52.0,161,49,193,116
CowDB,117,399.0,115,122,61,40,43,46.0,142,42,175,117
CowDB,118,486.0,120,127,62,42,44,50.0,155,44,186,118
CowDB,119,495.0,121,130,67,50,45,52.0,157,50,193,119
CowDB,120,493.0,123,132,65,46,43,48.0,159,47,188,120
CowDB,121,540.0,122,127,69,50,47,56.0,153,46,203,121
CowDB,122,486.0,126,133,66,45,46,47.0,158,46,189,122
CowDB,123,545.0,120,131,65,45,47,55.0,158,48,192,123
CowDB,124,484.0,124,130,65,44,46,48.0,161,45,184,124
CowDB,125,411.0,120,129,65,46,46,51.0,145,47,194,125
CowDB,126,512.0,122,130,66,42,44,52.0,155,49,190,126
CowDB,127,551.0,125,130,66,47,48,44.0,156,49,197,127
CowDB,128,479.0,121,126,62,50,44,52.0,145,44,190,128
CowDB,129,514.0,126,132,62,46,45,51.0,153,50,191,129
CowDB,130,548.0,122,129,65,50,45,56.0,143,50,202,130
CowDB,131,548.0,126,128,65,47,44,52.0,147,58,196,131
CowDB,132,418.0,125,130,61,40,41,45.0,154,45,179,132
CowDB,133,531.0,130,135,67,45,45,50.0,162,45,198,133
CowDB,134,512.0,118,123,65,46,47,54.0,155,44,188,134
CowDB,135,413.0,124,127,61,41,44,50.0,155,43,177,135
CowDB,136,563.0,122,130,64,43,47,53.0,152,47,207,136
CowDB,137,511.0,123,126,64,48,42,44.0,156,45,197,137
CowDB,138,495.0,124,128,66,43,45,42.0,162,45,182,138
CowDB,139,519.0,121,130,62,50,46,53.0,165,48,199,139
CowDB,140,549.0,127,130,70,44,45,52.0,170,46,196,140
CowDB,141,488.0,122,127,64,43,45,48.0,155,44,187,141
CowDB,142,526.0,115,125,65,46,45,52.0,147,46,195,142
CowDB,143,573.0,130,136,68,48,48,54.0,156,50,197,143
CowDB,144,543.0,123,128,66,48,49,55.0,152,48,195,144
CowDB,145,547.0,125,135,68,48,48,53.0,148,48,202,145
CowDB,146,466.0,118,122,65,46,45,49.0,145,44,190,146
CowDB,147,530.0,127,121,62,50,48,55.0,161,45,193,147
CowDB,148,550.0,118,125,65,48,49,53.0,154,45,194,148
CowDB,149,520.0,122,127,65,51,45,54.0,152,46,195,149
CowDB,150,511.0,125,128,67,48,46,51.0,157,51,192,150
CowDB,151,532.0,122,131,64,61,47,48.0,148,50,195,151
CowDB,152,499.0,124,129,70,45,44,47.0,159,49,192,152
CowDB,153,520.0,132,134,69,50,46,51.0,153,49,201,153
CowDB,154,535.0,125,128,69,48,49,53.0,156,49,197,154
